table_type,subset,cohort,window_type,window_value,definition,phase_mode,assumption_based_historical,n_windows,n_classifiable,positives,false_positive_rate,wilson95_low,wilson95_high,indeterminate_rate,p_prevalence_ge_39_1,p_prevalence_ge_44_2
window_false_positive,all,population,calendar,12,C_reproducibility_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,cycle,3,C_reproducibility_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,cycle,6,C_reproducibility_any,strict_herzog,False,50,12,3.0,0.25,0.08894166839405471,0.5323053349335657,0.76,,
window_false_positive,all,population,cycle,12,C_reproducibility_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,full,full_diary,C_reproducibility_any,strict_herzog,False,50,12,3.0,0.25,0.08894166839405471,0.5323053349335657,0.76,,
window_false_positive,all,healthy_ovulatory,calendar,1,C_reproducibility_12cycle_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,3,C_reproducibility_12cycle_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,4,C_reproducibility_12cycle_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,6,C_reproducibility_12cycle_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,12,C_reproducibility_12cycle_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,3,C_reproducibility_12cycle_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,6,C_reproducibility_12cycle_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,12,C_reproducibility_12cycle_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,full,full_diary,C_reproducibility_12cycle_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,1,C_reproducibility_12cycle_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,3,C_reproducibility_12cycle_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,4,C_reproducibility_12cycle_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,6,C_reproducibility_12cycle_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,12,C_reproducibility_12cycle_any,strict_herzog,False,50,0,0.0,,,,1.0,,
